Nombre_Hilo,Color_RGB,Color_Hex,Ruta_Local
604,"(176, 17, 64)",#B01140,https://piccolo.com.co/wp-content/uploads/2024/01/604.jpg
610,"(92, 33, 109)",#5C216D,https://piccolo.com.co/wp-content/uploads/2024/01/610.jpg
599,"(215, 54, 30)",#D7361E,https://piccolo.com.co/wp-content/uploads/2024/01/599.jpg
572,"(215, 168, 33)",#D7A821,https://piccolo.com.co/wp-content/uploads/2024/01/572.jpg
566,"(20, 85, 68)",#145544,https://piccolo.com.co/wp-content/uploads/2024/01/566.jpg
567,"(10, 85, 47)",#0A552F,https://piccolo.com.co/wp-content/uploads/2024/01/567.jpg
573,"(213, 168, 82)",#D5A852,https://piccolo.com.co/wp-content/uploads/2024/01/573.jpg
598,"(218, 177, 16)",#DAB110,https://piccolo.com.co/wp-content/uploads/2024/01/598.jpg
611,"(101, 160, 150)",#65A096,https://piccolo.com.co/wp-content/uploads/2024/01/611.jpg
605,"(219, 202, 183)",#DBCAB7,https://piccolo.com.co/wp-content/uploads/2024/01/605.jpg
613,"(219, 185, 182)",#DBB9B6,https://piccolo.com.co/wp-content/uploads/2024/01/613.jpg
607,"(160, 138, 119)",#A08A77,https://piccolo.com.co/wp-content/uploads/2024/01/607.jpg
559,"(150, 126, 115)",#967E73,https://piccolo.com.co/wp-content/uploads/2024/01/559.jpg
565,"(50, 159, 152)",#329F98,https://piccolo.com.co/wp-content/uploads/2024/01/565.jpg
571,"(178, 47, 26)",#B22F1A,https://piccolo.com.co/wp-content/uploads/2024/01/571.jpg
570,"(212, 187, 54)",#D4BB36,https://piccolo.com.co/wp-content/uploads/2024/01/570.jpg
564,"(11, 143, 135)",#0B8F87,https://piccolo.com.co/wp-content/uploads/2024/01/564.jpg
558,"(89, 91, 28)",#595B1C,https://piccolo.com.co/wp-content/uploads/2024/01/558.jpg
606,"(182, 27, 34)",#B61B22,https://piccolo.com.co/wp-content/uploads/2024/01/606.jpg
612,"(74, 98, 152)",#4A6298,https://piccolo.com.co/wp-content/uploads/2024/01/612.jpg
616,"(11, 73, 37)",#0B4925,https://piccolo.com.co/wp-content/uploads/2024/01/616.jpg
